Date,AAXJ,ACWI,ACWX,BND,DVY,EMB,EUFN,IBB,IEF,IEI,IJT,IUSG,IUSV,MBB,MCHI,PFF,QQQ,QTEC,SCZ,SHV,SHY,TLT,TQQQ,VCIT,VCLT,VCSH,VGIT,VGSH,VMBS,VNQI,VONE,VONG,VONV,VTWO,VXUS
2011/8/31,49.28746796,37.35683441,33.28742218,69.42390442,40.01472855,80.00855255,13.99550533,31.62531662,89.64971161,110.6167526,66.73377228,20.61496925,21.18315697,92.6975708,38.83211899,24.72784233,50.79153061,21.4673481,32.57178497,107.6005325,80.67155457,88.18074799,2.877496958,64.2490921,59.42955399,67.17193604,57.09589386,57.82478333,45.14439774,35.94657898,49.03715515,52.42829514,45.73218918,52.09103394,37.16465378
2011/9/1,48.92763519,37.10025787,33.1042099,69.71849823,39.6221199,80.10677338,13.75024605,31.14539528,90.36415863,110.9948502,65.58802032,20.3706665,20.88361931,92.88783264,38.77119064,24.74561501,50.33029175,21.16827965,32.02561188,107.6054077,80.69442749,90.04998779,2.796282053,64.56125641,60.22280884,67.22325897,57.24510574,57.84365082,45.08370209,35.78314209,48.49347305,52.10319901,45.33955765,51.31640244,36.92305756
2011/9/2,48.01490784,36.21935654,32.32136917,69.91047668,38.78978729,80.38137817,13.33884907,30.52084732,91.19281769,111.150116,63.32442856,19.87761307,20.32395554,93.02494812,37.77037048,24.61396027,49.14952087,20.57949448,31.52908897,107.595665,80.65633392,92.97537231,2.600534201,64.70953369,61.27083588,67.01795197,57.42938995,57.82478333,45.26580429,35.21115494,47.3622551,50.70355606,44.00805664,49.28416443,35.99696732
2011/9/6,48.10267639,35.58649063,31.43026161,70.01065063,38.47570419,80.0851593,12.42111111,30.96131897,91.31498718,111.0679474,63.35236359,19.81097984,20.11375046,93.03347778,37.2046814,24.44938087,49.15874863,20.57014656,30.46157265,107.6249466,80.66588593,93.9422226,2.600117683,64.70953369,61.38722229,67.1804657,57.56981659,57.81530762,45.26580429,34.520298,46.87995148,50.17078781,42.95821762,49.15657043,34.97423935
2011/9/7,49.26992798,36.59566879,32.39632034,69.85204315,39.35513687,80.38137817,12.84041977,31.86856079,90.82653046,111.0039978,65.60662842,20.35289574,20.75223923,92.99067688,37.2046814,24.69953156,50.40409088,21.31781387,31.31393051,107.595665,80.64679718,92.14901733,2.796698809,64.62371826,61.0815773,67.19757843,57.34163666,57.82478333,45.24845505,35.12943649,48.11640549,51.6788063,44.81890869,51.13414001,36.141922
2011/9/8,48.20798111,36.05686951,31.78003693,69.94381714,39.06460571,80.38860321,12.6347208,31.81596756,91.27136993,111.1866455,64.51676941,20.14857101,20.50787735,92.90499115,37.2046814,24.52837563,50.17347717,21.21500969,30.77603149,107.595665,80.67541504,92.97537231,2.757965803,64.81884003,61.15436935,67.18904877,57.4206543,57.77751923,45.26580429,34.54258347,47.85333252,51.561409,44.33239365,50.33218384,35.46546936
2011/9/9,46.87400436,34.97927094,30.71404457,70.00224304,38.12235641,79.78166962,11.93850708,30.86928177,91.7162323,111.4697723,62.579216,19.59332466,19.95609665,93.01638031,36.34310913,24.390131,49.05728531,20.79445076,29.88229179,107.595665,80.70399475,93.96705627,2.576378107,64.77979279,61.11071014,67.08638763,57.59614182,57.83422089,45.34384155,33.58431244,46.47657394,49.92697906,43.22280502,48.81938553,34.31389236
2011/9/12,46.6282692,34.96216583,30.51416206,69.79360962,38.34220886,79.43486023,11.59039783,31.1059494,91.43712616,111.1775131,62.91456604,19.71325874,20.09273529,92.84502411,35.86444473,23.96882248,49.68455887,21.16827965,29.78299522,107.595665,80.64679718,94.06620789,2.67300272,64.51443481,61.08888245,66.96664429,57.56105423,57.77751923,45.2744751,33.48774338,46.72210312,50.36042023,43.35084915,49.20214081,34.04008102
2011/9/13,46.54049301,35.25294113,30.7556839,69.71849823,38.74267197,79.66607666,11.89894962,31.51026917,91.1667099,111.1136322,63.995121,19.95312119,20.27928352,93.01638031,35.90795135,24.04122353,50.34873581,21.4673481,29.90712166,107.615181,80.65633392,92.72748566,2.776707411,64.35054016,60.52845383,67.05218506,57.46451569,57.81530762,45.2744751,33.34660339,47.23071289,51.0557251,43.84588623,50.06789017,34.37026215
2011/9/14,46.30353928,35.67200851,30.99720192,69.86872101,39.21380997,79.16027069,12.12838173,31.82254601,91.21902466,111.0587845,65.02910614,20.26406097,20.54203606,92.99924469,35.88185883,24.12023163,51.06826782,21.9720192,30.16366005,107.595665,80.65633392,93.51252747,2.896655083,64.3583374,60.97969055,67.06929016,57.40307236,57.75862122,45.29181671,33.24259186,47.9848671,51.92260742,44.45188904,51.01566315,34.63600922
2011/9/15,46.7072525,36.26212692,31.60515594,69.7352066,39.68493271,79.29034424,12.53978252,32.16440582,90.53859711,110.8487244,65.83950043,20.57055473,20.9072628,92.94782257,36.16034317,24.38356209,51.82469559,22.25239182,30.83396149,107.6249466,80.66588593,92.08288574,3.028264523,64.06175995,60.31015396,66.96664429,57.21879196,57.81530762,45.23979187,33.51744843,48.68639374,52.56373215,45.13471985,51.42575455,35.30441666
2011/9/16,47.12850571,36.34764862,31.68842697,69.71016693,39.83412933,79.30480957,12.59516335,32.19070435,90.7130661,110.8761368,65.84883881,20.68604469,20.90463638,92.91353607,36.3692131,24.31113243,52.29973602,22.2056694,30.83396149,107.6054077,80.68493652,92.75227356,3.107396841,64.1164093,60.54299927,67.01795197,57.29776382,57.81530762,45.19640732,33.66601944,48.93193054,52.79851151,45.46759415,51.53511429,35.21582031
2011/9/19,45.69798279,35.74897385,30.79732704,69.92713165,39.54359818,78.98687744,12.15211582,32.09536743,91.45453644,111.3054047,65.01045227,20.55278206,20.7023201,93.03347778,35.32487488,24.16631699,52.31821442,22.00940323,30.21330452,107.6054077,80.72302246,94.52067566,3.115309715,64.31151581,60.80505371,67.00939178,57.60495377,57.85312653,45.26580429,32.94545364,48.5460968,52.62694931,44.89572525,50.94276428,34.41858292
